RFID,Sex,Elevation,TestYear,I.TotTrials,I.20.LocErr,I.Tot.LocErr,R.TotTrials,R.20.LocErr,R.Tot.LocErr
0700ED9947,F,H,2016_17,180,0.7,0.227777778,154,0.55,0.266233766
0700EE0395,F,H,2017_18,127,1.15,0.346456693,156,0.7,0.346153846
0700EDCC90,F,L,2018_19,180,0.9,0.383333333,158,0.35,0.17721519
0700EDB49C,M,H,2017_18,282,1.1,0.507092199,159,0.9,0.459119497
0700EDF64A,M,H,2016_17,134,0.95,0.47761194,171,0.45,0.187134503
0700EE00BC,M,H,2017_18,188,1.25,0.324468085,176,0.4,0.176136364
0700EE17DB,M,H,2015_16,3387,0.35,0.091231178,179,1.2,1.715083799
0700EDF64A,M,H,2017_18,144,0.4,0.277777778,182,0.55,0.252747253
0700EDD51F,M,H,2016_17,224,0.75,0.21875,182,0.95,0.483516484
0700EDED4B,M,H,2016_17,46,1.15,0.565217391,187,0.65,0.336898396
011017A38C,F,H,2017_18,167,1.05,0.48502994,187,0.65,0.374331551
0300039CDC,M,L,2016_17,420,1.75,0.29047619,189,0.4,0.126984127
0700EDA702,M,H,2016_17,360,0.55,0.280555556,191,0.35,0.104712042
0700EE242F,F,H,2018_19,240,0.7,0.270833333,193,0.45,0.29015544
0700EDC0C6,F,H,2016_17,96,0.5,0.34375,194,0.45,0.118556701
0700EDF35F,F,H,2016_17,145,1.05,0.234482759,194,0.5,0.242268041
0700ED990E,F,H,2017_18,90,1.05,0.522222222,197,0.95,0.279187817
0110179CC6,M,H,2017_18,88,1.8,0.965909091,199,0.6,0.407035176
011017A0B1,F,H,2018_19,155,0.65,0.270967742,204,0.1,0.073529412
01101799DA,F,H,2018_19,189,1.75,0.486772487,208,0.6,0.182692308
0700EDA11E,F,H,2017_18,183,0.85,0.284153005,211,0.35,0.161137441
0700EDABF7,F,H,2016_17,117,0.85,0.452991453,212,0.85,0.400943396
0700ED9998,F,H,2016_17,205,0.8,0.331707317,215,0.55,0.293023256
0700EDD65F,M,H,2017_18,138,1,0.311594203,216,0.5,0.236111111
0700EE31AE,M,H,2016_17,172,0.65,0.209302326,221,0.5,0.208144796
0700ED990E,F,H,2018_19,60,0.7,0.383333333,224,0.35,0.133928571
0110179A53,F,H,2017_18,151,1.55,0.456953642,236,0.5,0.186440678
0700EDDE2F,M,H,2016_17,223,0.9,0.161434978,236,0.3,0.177966102
0700ED9667,M,H,2017_18,190,0.85,0.268421053,239,0.4,0.154811715
0700ED9AAB,M,H,2017_18,260,1.2,0.307692308,241,0.25,0.132780083
0700EDFD30,M,H,2016_17,308,1,0.282467532,243,0.35,0.230452675
0700EDD65F,M,H,2018_19,289,1.35,0.301038062,245,0.15,0.040816327
0700EE4300,M,H,2017_18,278,2,0.496402878,247,0.55,0.170040486
011017A3DB,F,H,2017_18,175,1.7,0.331428571,248,1,0.241935484
0700EDC0C6,F,H,2017_18,220,0.4,0.131818182,248,0.5,0.201612903
0700EDF8A1,F,H,2016_17,136,1.4,0.485294118,253,0.75,0.272727273
011017A009,F,H,2016_17,147,0.75,0.204081633,253,0.55,0.181818182
0700EE355F,F,H,2017_18,223,1.05,0.506726457,255,0.55,0.262745098
011017999B,F,H,2016_17,43,2.35,1.325581395,257,0.85,0.249027237
0700EE3A1B,M,H,2017_18,168,0.65,0.255952381,260,0.9,0.192307692
0700EDBFAD,M,H,2018_19,234,0.95,0.307692308,262,0.25,0.133587786
0700EDA702,M,H,2017_18,275,0.75,0.181818182,266,0.65,0.161654135
0700ED9084,F,H,2017_18,221,1,0.36199095,268,0.5,0.171641791
0700EDBFAD,M,H,2016_17,238,0.3,0.214285714,269,1.25,0.486988848
0700EE2513,F,H,2016_17,378,1.15,0.264550265,270,0.3,0.12962963
01101797F0,M,H,2018_19,365,1,0.309589041,278,0.5,0.104316547
01101799F5,F,H,2016_17,299,0.85,0.274247492,280,0.55,0.425
0700EE3087,F,L,2015_16,644,0.25,0.032608696,285,0.65,0.164912281
011017A327,M,H,2016_17,155,0.9,0.270967742,288,0.4,0.142361111
0700EE0D3C,M,H,2016_17,208,1.25,0.331730769,288,0.55,0.159722222
